brand,attribute,quadrant,sentiment,mentions,example_source
Acuvue,high quality,Basic Requirements,positive,187,[review](https://www.hktvmall.com/hktv/en/main/Habitual-Goods/s/B1048001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/ACUVUE-1DAY-MOIST-BC85-30P100/p/B1048001_S_2733905577123?scrollTo=reviewTab)
Acuvue,high quality,Basic Requirements,negative,14,[review](https://www.hktvmall.com/hktv/en/main/Timely-CON/s/B1048002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/OAS-WITH-HYDRALUXE-BC-90-30P-100/p/B1048002_S_733905819414?scrollTo=reviewTab)
Acuvue,safe and reliable,Basic Requirements,positive,13,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/1Day-ACUVUE-Moist-Contact-Lenses-Authorized/p/H7249002_S_JJACMD30A-85M0050?scrollTo=reviewTab)
Acuvue,high quality,Basic Requirements,neutral,1,[review](https://www.hktvmall.com/hktv/en/main/LENSee/s/B0217001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-90-Oasys-1Day-Contact-Lenses-P-100-Parallel-Import-Random-Pick-for-OldNew-Packaging/p/B0217001_S_90OasysPI30-0100?scrollTo=reviewTab)
Acuvue,eye health commitment,Basic Requirements,positive,1,[xhs_post](https://www.xiaohongshu.com/discovery/item/671b9eac000000002100387d?xsec_token=YBgmE81QjBD1vPR1ExQyjDeoo_OvrOepo_9pAgF1tqAQI%3D&xsec_source=app_share)
Acuvue,eye health commitment,Basic Requirements,negative,1,[reputation.csv](https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=23714756)
Acuvue,comfortable for eyes,Key Drivers,positive,129,[review](https://www.hktvmall.com/hktv/en/main/Timely-CON/s/B1048002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/ACUVUE-1DAY-MOIST-BC85-30P100/p/B1048002_S_733905577123?scrollTo=reviewTab)
Acuvue,trustworthy brand,Key Drivers,positive,31,[review](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/1Day-ACUVUE-Moist-Contact-Lenses-Authorized/p/H7249002_S_JJACMD30A-85M0050?scrollTo=reviewTab)
Acuvue,comfortable for eyes,Key Drivers,negative,25,[review](https://www.hktvmall.com/hktv/en/main/MY-CON/s/S2830001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Astigmatism-Contact-Lens/Bi-weekly-Disposable/BC-88-ACUVUE-Oasys-2Week-Contact-Lens-Random-Packaging/p/S2830001_S_88Oasys06pl_p-100?scrollTo=reviewTab)
Acuvue,can wear 12+ hours,Key Drivers,positive,21,[review](https://www.hktvmall.com/hktv/en/main/Timely-CON/s/B1048002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/ACUVUE-1DAY-MOIST-BC85-30P100/p/B1048002_S_733905577123?scrollTo=reviewTab)
Acuvue,clear/crisp vision,Key Drivers,positive,11,[review](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-90-Moist-Contant-Lens-1Day-Power-100-Parallel-import/p/H9723001_S_A113002_p-100?scrollTo=reviewTab)
Acuvue,clear/crisp vision,Key Drivers,negative,5,[review](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-85-Oasys-Silicone-Hydrogel-1Day-Contact-Lens-P-100-Random-Pick-for-OldNew-Packaging/p/H5711001_S_Oasys_reg_1day-85-100S?scrollTo=reviewTab)
Acuvue,clear/crisp vision,Key Drivers,neutral,3,[xhs_post](https://www.xiaohongshu.com/discovery/item/695157890000000021029851?xsec_token=YBWRujRAoFTi-YLzSiFg6MHGvSMwGDEyClxLhIfZBayeY%3D&xsec_source=app_share)
